gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group C,some high school,standard,none,51,50,49
male,group B,some college,standard,none,74,72,69
female,group B,some high school,standard,completed,60,78,72
female,group E,high school,standard,none,81,80,86
male,group A,high school,free/reduced,completed,66,76,71
male,group C,some college,free/reduced,none,73,73,69
male,group D,high school,standard,none,73,65,64
female,group C,some college,free/reduced,none,66,76,78
female,group D,some college,free/reduced,completed,61,77,76
male,group B,bachelor's degree,free/reduced,none,51,44,34
female,group E,associate's degree,standard,completed,47,57,59
male,group C,high school,standard,completed,66,65,64
female,group E,some college,standard,none,90,94,87
female,group C,some college,standard,completed,62,70,73
female,group B,associate's degree,free/reduced,completed,82,98,89
male,group A,some high school,standard,none,37,38,31
female,group D,associate's degree,standard,completed,91,96,100
male,group C,some college,free/reduced,none,70,56,60
female,group D,some college,free/reduced,none,62,63,64
female,group B,bachelor's degree,standard,completed,66,77,84
female,group B,associate's degree,standard,none,67,77,75
female,group A,some college,free/reduced,completed,54,57,63
male,group E,associate's degree,free/reduced,none,85,82,78
female,group D,high school,standard,none,82,98,91
male,group C,some college,standard,completed,89,81,83
male,group A,bachelor's degree,standard,none,86,84,87
female,group C,some high school,standard,none,66,81,71
male,group D,associate's degree,free/reduced,none,44,37,39
female,group C,bachelor's degree,free/reduced,completed,58,72,77
male,group D,associate's degree,standard,completed,74,64,68
male,group E,some college,free/reduced,none,74,62,66
female,group D,some college,standard,none,83,85,86
female,group A,high school,standard,completed,72,76,77
female,group B,bachelor's degree,standard,none,55,51,55
male,group B,master's degree,standard,none,87,78,73
female,group C,some college,standard,completed,76,85,83
male,group C,some high school,standard,completed,47,53,52
female,group A,some high school,standard,none,76,77,81
male,group D,high school,standard,none,61,54,51
female,group D,some high school,free/reduced,none,58,63,60
female,group C,bachelor's degree,free/reduced,none,62,76,73
female,group A,bachelor's degree,standard,none,71,84,81
male,group D,associate's degree,standard,completed,100,90,95
male,group E,some high school,standard,none,72,67,61
female,group C,bachelor's degree,free/reduced,none,43,58,63
male,group C,some college,free/reduced,completed,88,83,87
male,group D,some college,free/reduced,completed,75,79,76
male,group C,associate's degree,standard,none,66,73,68
male,group B,bachelor's degree,free/reduced,none,65,61,53
female,group E,some college,standard,none,59,64,62
male,group C,some college,free/reduced,none,56,50,40
female,group D,bachelor's degree,standard,none,69,87,85
female,group C,some college,standard,none,57,55,64
male,group C,high school,standard,none,62,59,54
female,group B,some high school,standard,none,44,53,51
female,group B,some high school,standard,none,39,49,44
female,group D,bachelor's degree,standard,completed,82,93,98
female,group B,bachelor's degree,standard,completed,62,64,67
female,group B,some high school,standard,completed,60,64,73
female,group B,some high school,free/reduced,none,31,45,44
female,group E,some college,free/reduced,none,72,92,92
male,group D,some college,free/reduced,completed,77,77,76
male,group B,some high school,free/reduced,none,63,56,50
male,group D,associate's degree,standard,completed,75,69,73
male,group B,associate's degree,standard,none,60,55,49
female,group E,some high school,standard,none,94,100,94
female,group B,high school,standard,none,69,72,75
male,group B,bachelor's degree,free/reduced,none,74,83,78
female,group E,high school,free/reduced,none,59,70,71
female,group C,some college,standard,none,73,73,73
female,group C,master's degree,free/reduced,none,50,63,64
female,group D,bachelor's degree,standard,none,95,100,100
female,group C,high school,standard,none,54,65,58
male,group D,high school,standard,none,76,66,66
female,group C,some high school,standard,none,51,49,55
male,group E,high school,free/reduced,none,65,61,56
female,group C,master's degree,free/reduced,none,65,68,72
male,group C,master's degree,free/reduced,completed,73,67,71
female,group C,master's degree,standard,none,66,74,70
female,group C,high school,free/reduced,completed,49,69,60
male,group C,some high school,standard,none,51,48,45
male,group D,some high school,standard,none,89,78,76
female,group A,high school,standard,completed,55,70,69
male,group E,high school,free/reduced,none,60,60,50
female,group A,master's degree,standard,completed,91,100,100
male,group A,some college,standard,completed,57,48,48
male,group A,bachelor's degree,free/reduced,none,62,65,57
female,group B,some high school,standard,none,30,40,40
female,group C,bachelor's degree,standard,none,67,81,74
male,group C,some college,standard,none,76,70,66
female,group C,associate's degree,free/reduced,none,40,52,53
female,group E,bachelor's degree,standard,none,63,66,71
female,group B,high school,standard,completed,75,84,84
female,group D,some high school,free/reduced,none,28,40,36
female,group B,bachelor's degree,standard,none,68,76,75
male,group C,high school,free/reduced,none,47,43,33
female,group D,some college,free/reduced,none,68,72,75
male,group D,some high school,standard,completed,96,92,95
female,group B,bachelor's degree,free/reduced,none,70,79,80
female,group B,some college,standard,none,78,90,88
male,group B,associate's degree,standard,none,85,73,76
male,group C,associate's degree,free/reduced,none,44,52,45
male,group C,some college,standard,none,71,68,55
female,group C,some high school,standard,none,59,78,79
male,group C,some high school,free/reduced,none,39,42,35
female,group C,some college,free/reduced,none,49,70,66
male,group B,some college,free/reduced,completed,58,60,61
male,group B,master's degree,standard,none,80,79,76
male,group C,associate's degree,free/reduced,none,63,62,59
female,group C,bachelor's degree,standard,completed,53,56,63
male,group C,some high school,free/reduced,completed,39,46,42
female,group C,associate's degree,standard,none,67,76,79
male,group B,high school,free/reduced,none,35,40,36
male,group A,some high school,standard,none,64,63,51
male,group C,bachelor's degree,standard,none,58,53,48
female,group C,high school,standard,completed,61,70,67
female,group B,some college,standard,completed,67,85,86
male,group C,some high school,standard,completed,87,77,79
male,group C,high school,standard,none,72,67,64
female,group D,some college,standard,completed,79,92,96
male,group D,associate's degree,standard,none,77,83,76
female,group C,associate's degree,free/reduced,completed,63,70,72
male,group A,associate's degree,free/reduced,completed,61,70,66
male,group D,bachelor's degree,free/reduced,completed,63,63,65
female,group C,some college,standard,none,67,68,66
female,group D,high school,standard,none,59,71,71
male,group A,high school,free/reduced,none,59,68,60
male,group B,some college,standard,none,64,60,55
female,group E,some college,standard,completed,85,100,100
male,group B,some college,standard,none,71,66,67
female,group D,associate's degree,standard,none,64,75,74
female,group C,master's degree,standard,none,51,54,59
female,group A,some college,standard,completed,64,71,77
male,group C,associate's degree,standard,none,89,85,82
male,group D,associate's degree,standard,completed,72,62,67
male,group E,associate's degree,free/reduced,none,45,52,49
female,group D,some high school,standard,none,78,79,81
male,group D,some high school,standard,none,48,53,46
male,group E,some college,standard,none,71,64,63
female,group C,some high school,standard,none,53,58,56
female,group D,high school,standard,completed,65,78,80
female,group D,some college,standard,none,59,67,66
female,group E,master's degree,standard,none,70,59,70
male,group D,high school,free/reduced,completed,82,86,85
female,group D,some high school,free/reduced,completed,58,77,84
female,group E,some college,standard,none,86,90,81
female,group D,associate's degree,standard,none,66,80,79
female,group E,high school,standard,none,61,59,64
male,group B,high school,free/reduced,none,14,24,15
female,group D,some college,standard,none,58,68,73
female,group C,some college,standard,none,62,77,77
female,group D,high school,standard,none,84,88,92
female,group D,master's degree,standard,completed,72,80,90
female,group A,bachelor's degree,standard,none,39,45,47
male,group D,bachelor's degree,standard,none,76,72,72
male,group D,some college,standard,none,43,44,45
female,group E,some college,free/reduced,completed,70,87,80
male,group E,some college,free/reduced,none,58,41,39
female,group D,some college,free/reduced,completed,59,79,82
male,group A,some high school,standard,none,53,46,44
female,group C,high school,free/reduced,completed,58,77,82
male,group B,some high school,standard,none,70,61,56
female,group D,some high school,free/reduced,completed,46,52,57
male,group C,associate's degree,free/reduced,none,73,76,69
female,group B,some high school,standard,none,57,63,58
female,group B,associate's degree,free/reduced,completed,84,100,96
male,group A,some high school,standard,none,76,64,69
female,group C,bachelor's degree,standard,completed,77,89,90
male,group B,bachelor's degree,standard,none,60,53,53
female,group B,associate's degree,standard,none,87,92,91
male,group A,some high school,standard,none,69,65,64
female,group B,some high school,standard,none,51,59,56
female,group B,high school,standard,none,76,75,74
female,group D,some high school,standard,none,61,56,60
male,group C,some high school,standard,none,68,63,64
male,group D,some college,standard,none,81,80,74
male,group C,some college,standard,none,80,74,74
male,group A,high school,free/reduced,none,54,52,50
female,group D,master's degree,standard,completed,77,95,94
male,group B,bachelor's degree,standard,completed,70,64,67
male,group C,some college,free/reduced,none,54,48,46
female,group C,some college,standard,none,52,55,56
female,group C,associate's degree,standard,completed,82,88,91
female,group C,some college,standard,none,59,83,81
female,group B,bachelor's degree,free/reduced,none,67,75,79
female,group C,high school,free/reduced,completed,69,82,84
male,group C,some college,standard,none,76,78,69
female,group E,bachelor's degree,standard,none,85,97,93
male,group A,associate's degree,standard,none,59,47,49
female,group C,some high school,standard,none,36,36,45
female,group E,high school,free/reduced,none,73,65,75
male,group B,some high school,standard,none,57,63,53
male,group D,some college,standard,none,76,62,64
male,group C,bachelor's degree,standard,none,56,49,44
female,group D,some high school,free/reduced,completed,74,89,82
female,group C,some college,free/reduced,completed,51,52,58
female,group C,associate's degree,free/reduced,none,29,48,40
female,group D,some college,free/reduced,none,58,61,57
male,group E,associate's degree,standard,completed,91,82,79
female,group B,master's degree,standard,completed,69,74,76
female,group C,some college,standard,none,69,75,73
female,group C,some high school,free/reduced,completed,30,45,41
female,group A,some high school,standard,none,62,68,74
female,group E,some high school,standard,none,92,97,93
male,group D,high school,free/reduced,completed,69,66,66
male,group A,high school,free/reduced,none,59,50,48
female,group C,some college,free/reduced,none,56,57,59
female,group C,high school,standard,none,61,75,75
female,group B,some high school,standard,none,47,55,49
male,group C,high school,standard,completed,74,85,75
male,group B,associate's degree,standard,none,76,74,75
male,group C,associate's degree,free/reduced,none,69,72,66
female,group C,some college,standard,completed,57,73,67
male,group C,some high school,free/reduced,completed,55,57,58
female,group C,some college,standard,none,56,64,62
male,group C,some college,free/reduced,none,54,51,48
male,group D,associate's degree,standard,none,98,83,78
male,group D,associate's degree,free/reduced,none,50,45,45
female,group C,some high school,free/reduced,none,58,67,69
male,group A,high school,free/reduced,completed,40,39,33
male,group B,master's degree,standard,none,72,69,63
male,group B,master's degree,standard,none,79,78,72
male,group A,some high school,free/reduced,none,63,63,56
male,group E,some high school,standard,none,63,39,43
male,group A,high school,standard,none,70,72,64
male,group A,some college,free/reduced,completed,53,42,42
female,group D,some college,standard,none,53,58,60
male,group C,some high school,standard,completed,93,88,83
male,group E,bachelor's degree,standard,completed,72,76,70
female,group D,high school,free/reduced,none,54,63,60
female,group E,bachelor's degree,free/reduced,none,79,88,81
female,group A,high school,standard,none,40,53,52
male,group D,some high school,standard,completed,88,78,73
male,group C,bachelor's degree,free/reduced,none,66,62,58
female,group D,high school,free/reduced,none,64,68,72
male,group C,bachelor's degree,standard,none,67,56,57
male,group A,some high school,standard,none,55,51,46
male,group E,some high school,standard,completed,82,77,73
male,group C,associate's degree,standard,completed,83,96,89
female,group C,some college,free/reduced,completed,51,66,60
male,group B,some high school,standard,none,58,51,51
female,group B,some college,free/reduced,none,39,55,47
female,group D,associate's degree,standard,none,68,77,81
male,group E,some college,free/reduced,none,80,83,72
female,group D,high school,standard,completed,71,93,96
male,group D,high school,free/reduced,none,35,30,27
male,group C,some high school,free/reduced,completed,74,66,75
male,group C,associate's degree,standard,none,58,61,59
female,group A,some college,standard,completed,35,57,56
female,group B,master's degree,standard,none,90,94,92
male,group E,some high school,standard,completed,40,38,35
female,group D,associate's degree,standard,none,48,53,58
male,group D,high school,standard,none,67,58,54
male,group C,high school,free/reduced,none,55,63,53
male,group D,associate's degree,standard,completed,85,86,86
female,group B,master's degree,standard,none,65,80,68
male,group B,some high school,free/reduced,completed,58,50,46
male,group D,some high school,free/reduced,none,30,34,38
female,group C,some college,standard,none,65,67,70
female,group C,associate's degree,free/reduced,none,59,74,74
male,group B,high school,standard,none,88,89,76
male,group D,some college,free/reduced,completed,55,63,55
female,group C,high school,standard,none,68,86,76
male,group C,master's degree,free/reduced,none,30,33,23
male,group A,master's degree,standard,none,49,47,43
female,group D,associate's degree,standard,none,82,89,92
female,group D,associate's degree,free/reduced,none,58,64,58
male,group C,high school,free/reduced,none,59,59,51
female,group D,associate's degree,standard,none,97,89,98
male,group D,some college,free/reduced,completed,83,83,83
male,group D,bachelor's degree,free/reduced,none,45,37,38
female,group A,bachelor's degree,standard,completed,60,72,70
male,group C,some high school,standard,completed,99,97,89
male,group D,bachelor's degree,standard,none,89,72,70
male,group B,some high school,free/reduced,none,64,62,56
male,group A,bachelor's degree,free/reduced,none,65,68,65
male,group B,associate's degree,free/reduced,completed,53,62,58
male,group D,some high school,standard,completed,68,68,69
female,group D,some college,free/reduced,completed,81,96,96
male,group B,associate's degree,free/reduced,completed,78,80,82
male,group C,high school,free/reduced,completed,61,61,60
male,group E,some high school,standard,completed,85,75,78
male,group B,bachelor's degree,standard,completed,65,64,67
female,group B,high school,free/reduced,none,62,75,69
female,group C,high school,free/reduced,completed,58,74,71
male,group D,associate's degree,standard,none,66,62,59
male,group C,high school,standard,completed,71,62,59
male,group C,associate's degree,free/reduced,none,79,77,72
male,group E,associate's degree,standard,completed,83,66,62
male,group B,bachelor's degree,free/reduced,none,42,46,42
female,group E,bachelor's degree,free/reduced,none,51,73,64
female,group D,high school,standard,none,77,84,89
female,group E,some college,standard,none,76,72,75
male,group C,associate's degree,standard,completed,89,74,74
male,group E,some college,free/reduced,none,89,72,78
female,group C,associate's degree,standard,none,73,85,87
female,group C,some high school,standard,none,79,94,94
female,group D,some college,free/reduced,none,62,69,75
female,group E,associate's degree,standard,none,89,82,80
female,group C,associate's degree,free/reduced,none,48,57,50
female,group D,some high school,free/reduced,none,68,69,66
male,group C,some college,free/reduced,none,48,49,46
male,group C,bachelor's degree,standard,none,82,65,63
male,group C,associate's degree,standard,completed,83,80,80
male,group D,master's degree,free/reduced,none,62,61,58
female,group E,bachelor's degree,standard,none,70,71,68
male,group C,high school,standard,none,59,64,58
male,group C,high school,standard,completed,83,77,82
female,group D,high school,standard,completed,78,87,81
female,group C,master's degree,free/reduced,none,65,81,77
male,group A,bachelor's degree,standard,none,69,60,65
female,group B,some high school,standard,none,53,60,57
male,group C,bachelor's degree,standard,completed,87,82,85
male,group D,some college,free/reduced,completed,77,71,68
male,group C,master's degree,standard,none,80,86,80
male,group B,associate's degree,standard,completed,76,64,70
male,group D,high school,standard,none,72,69,71
male,group D,associate's degree,standard,none,91,86,86
female,group D,associate's degree,standard,none,60,62,71
female,group A,some college,standard,none,63,64,70
male,group B,some college,standard,completed,64,53,58
male,group C,some college,free/reduced,none,70,70,63
male,group A,some college,standard,none,55,67,57
female,group D,some high school,free/reduced,none,57,71,72
female,group A,bachelor's degree,free/reduced,none,49,58,62
male,group D,high school,standard,none,66,54,51
female,group C,some high school,standard,none,76,89,84
male,group B,bachelor's degree,standard,none,86,89,82
male,group A,high school,standard,none,79,81,75
male,group A,associate's degree,standard,none,63,64,67
female,group E,some high school,free/reduced,completed,81,94,99
male,group D,some college,free/reduced,none,84,75,79
male,group B,some high school,standard,completed,63,61,60
male,group C,associate's degree,free/reduced,none,52,53,49
female,group B,associate's degree,standard,completed,64,78,80
female,group C,associate's degree,standard,completed,69,69,73
female,group C,high school,standard,completed,77,84,88
female,group B,some college,standard,none,54,61,58
male,group A,bachelor's degree,standard,none,81,63,66
female,group C,some college,free/reduced,none,59,74,70
female,group C,master's degree,free/reduced,none,78,84,82
female,group C,associate's degree,standard,completed,77,78,80
female,group C,some college,standard,none,69,68,66
male,group D,master's degree,standard,none,84,81,77
male,group D,some college,standard,completed,91,100,100
male,group C,some high school,free/reduced,completed,49,58,47
male,group C,master's degree,standard,completed,89,89,94
male,group C,high school,standard,none,54,52,47
female,group E,high school,standard,none,54,58,58
male,group B,associate's degree,free/reduced,completed,55,59,59
female,group B,some high school,free/reduced,completed,66,78,77
female,group D,high school,standard,completed,89,93,94
female,group D,some high school,free/reduced,completed,57,69,65
female,group B,master's degree,standard,none,80,86,78
male,group C,bachelor's degree,standard,none,68,65,56
male,group B,high school,standard,none,90,86,75
male,group E,associate's degree,free/reduced,completed,69,72,71
male,group B,master's degree,free/reduced,completed,89,87,89
female,group C,high school,free/reduced,none,62,70,73
female,group D,high school,free/reduced,none,30,36,38
male,group C,associate's degree,free/reduced,completed,72,78,68
female,group C,bachelor's degree,free/reduced,none,59,79,71
female,group B,some college,standard,none,69,84,78
male,group D,master's degree,free/reduced,completed,81,81,82
male,group D,high school,standard,none,61,53,49
male,group B,high school,free/reduced,completed,67,63,59
female,group C,some high school,standard,completed,61,65,71
